"filename", "language", "TypeScript", "CSS", "JSON", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\marug\Documents\iwish-angular\src\app\login\login.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 6, 4, 24
"c:\Users\marug\Documents\iwish-angular\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\marug\Documents\iwish-angular\src\assets\notfound.svg", "XML", 0, 0, 0, 0, 0, 26, 0, 1, 27
"c:\Users\marug\Documents\iwish-angular\src\assets\user.svg", "XML", 0, 0, 0, 0, 0, 72, 1, 1, 74
"c:\Users\marug\Documents\iwish-angular\src\dto\categorydto.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 10, 22
"c:\Users\marug\Documents\iwish-angular\src\dto\logindto.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\marug\Documents\iwish-angular\src\dto\portfoliodto.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 12, 21
"c:\Users\marug\Documents\iwish-angular\src\dto\prodottodto.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 11, 29
"c:\Users\marug\Documents\iwish-angular\src\dto\progressdto.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 11, 26
"c:\Users\marug\Documents\iwish-angular\src\dto\userdto.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 8, 8, 23
"c:\Users\marug\Documents\iwish-angular\src\dto\usertype.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\marug\Documents\iwish-angular\src\dto\wishlistdto.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 8, 19
"c:\Users\marug\Documents\iwish-angular\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\marug\Documents\iwish-angular\src\environments\environment.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 11, 3, 17
"c:\Users\marug\Documents\iwish-angular\src\index.html", "HTML", 0, 0, 0, 0, 18, 0, 8, 4, 30
"c:\Users\marug\Documents\iwish-angular\src\karma.conf.js", "JavaScript", 0, 0, 0, 29, 0, 0, 2, 2, 33
"c:\Users\marug\Documents\iwish-angular\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\marug\Documents\iwish-angular\src\polyfills.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 55, 8, 64
"c:\Users\marug\Documents\iwish-angular\src\service\abstractservice.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 9, 10, 43
"c:\Users\marug\Documents\iwish-angular\src\service\category.service.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\marug\Documents\iwish-angular\src\service\portfolio.service.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\marug\Documents\iwish-angular\src\service\prodotto.service.spec.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\marug\Documents\iwish-angular\src\service\prodotto.service.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\marug\Documents\iwish-angular\src\service\progress.service.spec.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\marug\Documents\iwish-angular\src\service\progress.service.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 16, 45
"c:\Users\marug\Documents\iwish-angular\src\service\service.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8, 8, 24
"c:\Users\marug\Documents\iwish-angular\src\service\user.service.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 9, 5, 32
"c:\Users\marug\Documents\iwish-angular\src\service\wishlist.service.spec.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\marug\Documents\iwish-angular\src\service\wishlist.service.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\marug\Documents\iwish-angular\src\styles.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\marug\Documents\iwish-angular\src\test.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 4, 4, 21
"c:\Users\marug\Documents\iwish-angular\src\tsconfig.app.json", "JSON", 0, 0, 9, 0, 0, 0, 3, 0, 12
"c:\Users\marug\Documents\iwish-angular\src\tsconfig.spec.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 1, 19
"c:\Users\marug\Documents\iwish-angular\src\tslint.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 1, 18
"Total", "-", 867, 627, 44, 29, 618, 99, 836, 585, 3705
